GEOID,NAME,population,year
0100100,"Abanda CDP, Alabama",192,2010
0100100,"Abanda CDP, Alabama",133,2020
0100124,"Abbeville city, Alabama",2987,2000
0100124,"Abbeville city, Alabama",2688,2010
0100124,"Abbeville city, Alabama",2358,2020
0100460,"Adamsville city, Alabama",4965,2000
0100460,"Adamsville city, Alabama",4522,2010
0100460,"Adamsville city, Alabama",4366,2020
0100484,"Addison town, Alabama",723,2000
0100484,"Addison town, Alabama",758,2010
0100484,"Addison town, Alabama",659,2020
0100676,"Akron town, Alabama",521,2000
0100676,"Akron town, Alabama",356,2010
0100676,"Akron town, Alabama",225,2020
0100820,"Alabaster city, Alabama",22619,2000
0100820,"Alabaster city, Alabama",30352,2010
0100820,"Alabaster city, Alabama",33284,2020
0100988,"Albertville city, Alabama",17247,2000
0100988,"Albertville city, Alabama",21160,2010
0100988,"Albertville city, Alabama",22386,2020
0101132,"Alexander City city, Alabama",15008,2000
0101132,"Alexander City city, Alabama",14875,2010
0101132,"Alexander City city, Alabama",14843,2020
0101180,"Alexandria CDP, Alabama",3692,2000
0101180,"Alexandria CDP, Alabama",3917,2010
0101180,"Alexandria CDP, Alabama",4032,2020
0101228,"Aliceville city, Alabama",2567,2000
0101228,"Aliceville city, Alabama",2486,2010
0101228,"Aliceville city, Alabama",2177,2020
0101396,"Allgood town, Alabama",629,2000
0101396,"Allgood town, Alabama",622,2010
0101396,"Allgood town, Alabama",548,2020
0101660,"Altoona town, Alabama",984,2000
0101660,"Altoona town, Alabama",933,2010
0101660,"Altoona town, Alabama",948,2020
0101708,"Andalusia city, Alabama",8794,2000
0101708,"Andalusia city, Alabama",9015,2010
0101708,"Andalusia city, Alabama",8805,2020
0101756,"Anderson town, Alabama",354,2000
0101756,"Anderson town, Alabama",282,2010
0101756,"Anderson town, Alabama",254,2020
0101852,"Anniston city, Alabama",24276,2000
0101852,"Anniston city, Alabama",23106,2010
0101852,"Anniston city, Alabama",21564,2020
0102116,"Arab city, Alabama",7174,2000
0102116,"Arab city, Alabama",8050,2010
0102116,"Arab city, Alabama",8461,2020
0102260,"Ardmore town, Alabama",1034,2000
0102260,"Ardmore town, Alabama",1194,2010
0102260,"Ardmore town, Alabama",1321,2020
0102320,"Argo town, Alabama",1780,2000
0102320,"Argo town, Alabama",4071,2010
0102320,"Argo town, Alabama",4368,2020
0102428,"Ariton town, Alabama",772,2000
0102428,"Ariton town, Alabama",764,2010
0102428,"Ariton town, Alabama",662,2020
0102500,"Arley town, Alabama",290,2000
0102500,"Arley town, Alabama",357,2010
0102500,"Arley town, Alabama",330,2020
0102836,"Ashford city, Alabama",1853,2000
0102836,"Ashford town, Alabama",2148,2010
0102836,"Ashford town, Alabama",2246,2020
0102860,"Ashland city, Alabama",1965,2000
0102860,"Ashland town, Alabama",2037,2010
0102860,"Ashland town, Alabama",1984,2020
0102908,"Ashville town, Alabama",2260,2000
0102908,"Ashville city, Alabama",2212,2010
0102908,"Ashville city, Alabama",2346,2020
0102956,"Athens city, Alabama",18967,2000
0102956,"Athens city, Alabama",21897,2010
0102956,"Athens city, Alabama",25406,2020
0103004,"Atmore city, Alabama",7676,2000
0103004,"Atmore city, Alabama",10194,2010
0103004,"Atmore city, Alabama",8391,2020
0103028,"Attalla city, Alabama",6592,2000
0103028,"Attalla city, Alabama",6048,2010
0103028,"Attalla city, Alabama",5827,2020
0103076,"Auburn city, Alabama",42987,2000
0103076,"Auburn city, Alabama",53380,2010
0103076,"Auburn city, Alabama",76143,2020
0103220,"Autaugaville town, Alabama",820,2000
0103220,"Autaugaville town, Alabama",870,2010
0103220,"Autaugaville town, Alabama",795,2020
0103364,"Avon town, Alabama",466,2000
0103364,"Avon town, Alabama",543,2010
0103364,"Avon town, Alabama",465,2020
0103508,"Axis CDP, Alabama",757,2010
0103508,"Axis CDP, Alabama",561,2020
0103556,"Babbie town, Alabama",627,2000
0103556,"Babbie town, Alabama",603,2010
0103556,"Babbie town, Alabama",625,2020
0103676,"Baileyton town, Alabama",684,2000
0103676,"Baileyton town, Alabama",610,2010
0103676,"Baileyton town, Alabama",649,2020
0103724,"Bakerhill town, Alabama",279,2010
0103724,"Bakerhill town, Alabama",211,2020
0103820,"Ballplay CDP, Alabama",1580,2010
0103820,"Ballplay CDP, Alabama",1437,2020
0103940,"Banks town, Alabama",224,2000
0103940,"Banks town, Alabama",179,2010
0103940,"Banks town, Alabama",156,2020
0104660,"Bay Minette city, Alabama",7820,2000
0104660,"Bay Minette city, Alabama",8044,2010
0104660,"Bay Minette city, Alabama",8107,2020
0104684,"Bayou La Batre city, Alabama",2313,2000
0104684,"Bayou La Batre city, Alabama",2558,2010
0104684,"Bayou La Batre city, Alabama",2204,2020
0104852,"Bear Creek town, Alabama",1053,2000
0104852,"Bear Creek town, Alabama",1070,2010
0104852,"Bear Creek town, Alabama",1047,2020
0104900,"Beatrice town, Alabama",412,2000
0104900,"Beatrice town, Alabama",301,2010
0104900,"Beatrice town, Alabama",204,2020
0104948,"Beaverton town, Alabama",226,2000
0104948,"Beaverton town, Alabama",201,2010
0104948,"Beaverton town, Alabama",187,2020
0105140,"Belgreen CDP, Alabama",129,2010
0105140,"Belgreen CDP, Alabama",170,2020
0105164,"Belk town, Alabama",214,2000
0105164,"Belk town, Alabama",215,2010
0105164,"Belk town, Alabama",186,2020
0105188,"Bellamy CDP, Alabama",543,2010
0105188,"Bellamy CDP, Alabama",363,2020
0105212,"Belle Fontaine CDP, Alabama",608,2010
0105212,"Belle Fontaine CDP, Alabama",613,2020
0105692,"Benton town, Alabama",47,2000
0105692,"Benton town, Alabama",49,2010
0105692,"Benton town, Alabama",41,2020
0105812,"Berlin town, Alabama",476,2020
0105932,"Berry town, Alabama",1238,2000
0105932,"Berry town, Alabama",1148,2010
0105932,"Berry town, Alabama",1216,2020
0105980,"Bessemer city, Alabama",29672,2000
0105980,"Bessemer city, Alabama",27456,2010
0105980,"Bessemer city, Alabama",26019,2020
0106460,"Billingsley town, Alabama",116,2000
0106460,"Billingsley town, Alabama",144,2010
