year,Statistic,Value,value_last,pct_change,Percent Change,Year,y_midpoint,Growth
2013,Median Household Income,41054,NA,NA,NA,2013,NA,NA
2013,Median Home Value,82372,NA,NA,NA,2013,NA,NA
2013,Median Gross Rent,482,NA,NA,NA,2013,NA,NA
2014,Median Household Income,41420,41054,0.8915087445803089,  0.89 %,2014,41237,1
2014,Median Home Value,83218,82372,1.027048026028262, 1.03 %,2014,82795,1
2014,Median Gross Rent,485,482,0.6224066390041494,  0.62 %,2014,483.5,1
2015,Median Household Income,46493,41420,12.24770642201835, 12.25 %,2015,43956.5,1
2015,Median Home Value,84494,83218,1.5333221178110505, 1.53 %,2015,83856,1
2015,Median Gross Rent,551,485,13.608247422680412, 13.61 %,2015,518,1
2016,Median Household Income,38914,46493,-16.30137870217022,-16.30 %,2016,42703.5,0
2016,Median Home Value,88510,84494,4.753000213032878, 4.75 %,2016,86502,1
2016,Median Gross Rent,571,551,3.6297640653357535,  3.63 %,2016,561,1
2017,Median Household Income,37605,38914,-3.363827928252043, -3.36 %,2017,38259.5,0
2017,Median Home Value,86169,88510,-2.644898881482318,-2.64 %,2017,87339.5,0
2017,Median Gross Rent,627,571,9.807355516637479,  9.81 %,2017,599,1
2018,Median Household Income,47170,37605,25.435447413907724, 25.44 %,2018,42387.5,1
2018,Median Home Value,90566,86169,5.102763174691594, 5.10 %,2018,88367.5,1
2018,Median Gross Rent,657,627,4.784688995215311,  4.78 %,2018,642,1
2019,Median Household Income,49318,47170,4.55374178503286,  4.55 %,2019,48244,1
2019,Median Home Value,91940,90566,1.51712563213568, 1.52 %,2019,91253,1
2019,Median Gross Rent,742,657,12.93759512937595, 12.94 %,2019,699.5,1
2020,Median Household Income,43508,49318,-11.78068859240034,-11.78 %,2020,46413,0
2020,Median Home Value,91441,91940,-0.5427452686534696,-0.54 %,2020,91690.5,0
2020,Median Gross Rent,615,742,-17.11590296495957,-17.12 %,2020,678.5,0
2021,Median Household Income,45958,43508,5.6311482945665166,  5.63 %,2021,44733,1
2021,Median Home Value,90040,91441,-1.5321354753338219,-1.53 %,2021,90740.5,0
2021,Median Gross Rent,743,615,20.8130081300813, 20.81 %,2021,679,1
2022,Median Household Income,38997,45958,-15.14643805213456,-15.15 %,2022,42477.5,0
2022,Median Home Value,93088,90040,3.3851621501554865, 3.39 %,2022,91564,1
2022,Median Gross Rent,686,743,-7.671601615074024, -7.67 %,2022,714.5,0
2023,Median Household Income,38977,38997,-0.05128599635869426, -0.05 %,2023,38987,0
2023,Median Home Value,91300,93088,-1.9207631488484016,-1.92 %,2023,92194,0
2023,Median Gross Rent,582,686,-15.160349854227405,-15.16 %,2023,634,0
2024,Median Household Income,38408,38977,-1.4598352874772302, -1.46 %,2024,38692.5,0
2024,Median Home Value,92717,91300,1.552026286966046, 1.55 %,2024,92008.5,1
2024,Median Gross Rent,559,582,-3.951890034364261, -3.95 %,2024,570.5,0
