year,Statistic,Value,value_last,pct_change,Percent Change,Year,y_midpoint,Growth
2013,median_age,55.9,NA,NA,NA,2013,NA,NA
2014,median_age,55.7,55.9,-0.3577817531305827, -0.36 %,2014,55.8,0
2015,median_age,55,55.7,-1.2567324955116748, -1.26 %,2015,55.35,0
2016,median_age,54.6,55,-0.7272727272727246, -0.73 %,2016,54.8,0
2017,median_age,49.6,54.6,-9.157509157509157, -9.16 %,2017,52.1,0
2018,median_age,53.5,49.6,7.862903225806448,  7.86 %,2018,51.55,1
2019,median_age,59.5,53.5,11.214953271028037, 11.21 %,2019,56.5,1
2020,median_age,59.8,59.5,0.5042016806722641,  0.50 %,2020,59.65,1
2021,median_age,50.6,59.8,-15.384615384615378,-15.38 %,2021,55.2,0
2022,median_age,55.1,50.6,8.893280632411066,  8.89 %,2022,52.85,1
2023,median_age,54.8,55.1,-0.5444646098003707, -0.54 %,2023,54.95,0
2024,median_age,58.5,54.8,6.751824817518254,  6.75 %,2024,56.65,1
