year,Statistic,Value,gender,Statistic2,Value2
2024,Male 9 and Under,14,Men,9 and Under,-14
2024,Male 10 to 19,25,Men,10 to 19,-25
2024,Male 20 to 29,17,Men,20 to 29,-17
2024,Male 30 to 39,27,Men,30 to 39,-27
2024,Male 40 to 49,0,Men,40 to 49,0
2024,Male 50 to 59,3,Men,50 to 59,-3
2024,Male 60 to 69,13,Men,60 to 69,-13
2024,Male 70 to 79,2,Men,70 to 79,-2
2024,Male 80 and Over,0,Men,80 and Over,0
2024,Female 9 and Under,27,Women,9 and Under,27
2024,Female 10 to 19,24,Women,10 to 19,24
2024,Female 20 to 29,8,Women,20 to 29,8
2024,Female 30 to 39,14,Women,30 to 39,14
2024,Female 40 to 49,7,Women,40 to 49,7
2024,Female 50 to 59,1,Women,50 to 59,1
2024,Female 60 to 69,7,Women,60 to 69,7
2024,Female 70 to 79,1,Women,70 to 79,1
2024,Female 80 and Over,1,Women,80 and Over,1
