year,Statistic,Value,gender,Statistic2,Value2
2024,Male 9 and Under,103,Men,9 and Under,-103
2024,Male 10 to 19,50,Men,10 to 19,-50
2024,Male 20 to 29,80,Men,20 to 29,-80
2024,Male 30 to 39,64,Men,30 to 39,-64
2024,Male 40 to 49,63,Men,40 to 49,-63
2024,Male 50 to 59,64,Men,50 to 59,-64
2024,Male 60 to 69,72,Men,60 to 69,-72
2024,Male 70 to 79,66,Men,70 to 79,-66
2024,Male 80 and Over,45,Men,80 and Over,-45
2024,Female 9 and Under,104,Women,9 and Under,104
2024,Female 10 to 19,45,Women,10 to 19,45
2024,Female 20 to 29,38,Women,20 to 29,38
2024,Female 30 to 39,74,Women,30 to 39,74
2024,Female 40 to 49,47,Women,40 to 49,47
2024,Female 50 to 59,81,Women,50 to 59,81
2024,Female 60 to 69,63,Women,60 to 69,63
2024,Female 70 to 79,60,Women,70 to 79,60
2024,Female 80 and Over,103,Women,80 and Over,103
