year,Statistic,Value,gender,Statistic2,Value2
2024,Male 9 and Under,12,Men,9 and Under,-12
2024,Male 10 to 19,18,Men,10 to 19,-18
2024,Male 20 to 29,12,Men,20 to 29,-12
2024,Male 30 to 39,8,Men,30 to 39,-8
2024,Male 40 to 49,7,Men,40 to 49,-7
2024,Male 50 to 59,8,Men,50 to 59,-8
2024,Male 60 to 69,42,Men,60 to 69,-42
2024,Male 70 to 79,28,Men,70 to 79,-28
2024,Male 80 and Over,14,Men,80 and Over,-14
2024,Female 9 and Under,24,Women,9 and Under,24
2024,Female 10 to 19,29,Women,10 to 19,29
2024,Female 20 to 29,4,Women,20 to 29,4
2024,Female 30 to 39,28,Women,30 to 39,28
2024,Female 40 to 49,7,Women,40 to 49,7
2024,Female 50 to 59,28,Women,50 to 59,28
2024,Female 60 to 69,37,Women,60 to 69,37
2024,Female 70 to 79,30,Women,70 to 79,30
2024,Female 80 and Over,17,Women,80 and Over,17
