year,Statistic,Value,gender,Statistic2,Value2
2024,Male 9 and Under,0,Men,9 and Under,0
2024,Male 10 to 19,2,Men,10 to 19,-2
2024,Male 20 to 29,0,Men,20 to 29,0
2024,Male 30 to 39,0,Men,30 to 39,0
2024,Male 40 to 49,0,Men,40 to 49,0
2024,Male 50 to 59,2,Men,50 to 59,-2
2024,Male 60 to 69,6,Men,60 to 69,-6
2024,Male 70 to 79,4,Men,70 to 79,-4
2024,Male 80 and Over,0,Men,80 and Over,0
2024,Female 9 and Under,0,Women,9 and Under,0
2024,Female 10 to 19,0,Women,10 to 19,0
2024,Female 20 to 29,0,Women,20 to 29,0
2024,Female 30 to 39,0,Women,30 to 39,0
2024,Female 40 to 49,6,Women,40 to 49,6
2024,Female 50 to 59,3,Women,50 to 59,3
2024,Female 60 to 69,2,Women,60 to 69,2
2024,Female 70 to 79,3,Women,70 to 79,3
2024,Female 80 and Over,5,Women,80 and Over,5
