year,Statistic,Value,gender,Statistic2,Value2
2024,Male 9 and Under,54,Men,9 and Under,-54
2024,Male 10 to 19,55,Men,10 to 19,-55
2024,Male 20 to 29,22,Men,20 to 29,-22
2024,Male 30 to 39,16,Men,30 to 39,-16
2024,Male 40 to 49,19,Men,40 to 49,-19
2024,Male 50 to 59,39,Men,50 to 59,-39
2024,Male 60 to 69,49,Men,60 to 69,-49
2024,Male 70 to 79,30,Men,70 to 79,-30
2024,Male 80 and Over,17,Men,80 and Over,-17
2024,Female 9 and Under,19,Women,9 and Under,19
2024,Female 10 to 19,77,Women,10 to 19,77
2024,Female 20 to 29,29,Women,20 to 29,29
2024,Female 30 to 39,13,Women,30 to 39,13
2024,Female 40 to 49,59,Women,40 to 49,59
2024,Female 50 to 59,21,Women,50 to 59,21
2024,Female 60 to 69,42,Women,60 to 69,42
2024,Female 70 to 79,21,Women,70 to 79,21
2024,Female 80 and Over,31,Women,80 and Over,31
